Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR20705522,RNA-Seq,50,3173306800,PRJNA863398,SAMN30032908,Plant,1787314051,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,GA-2002,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727222,Pakistan,Asia,Pakistan,BGISEQ-500,SMGA_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:40:00Z,1,SMGA_R,SRP388693,root,control
SRR20705523,RNA-Seq,50,2299804800,PRJNA863398,SAMN30032907,Plant,1330166412,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Dirk,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727221,Pakistan,Asia,Pakistan,BGISEQ-500,SMDI_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMDI_R,SRP388693,root,control
SRR20705524,RNA-Seq,50,3194586600,PRJNA863398,SAMN30032906,Plant,1789711966,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Dharabi-2011,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727220,Pakistan,Asia,Pakistan,BGISEQ-500,SMD_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:35:00Z,1,SMD_R,SRP388693,root,control
SRR20705525,RNA-Seq,50,3173278700,PRJNA863398,SAMN30032905,Plant,1799598641,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Chakwal-97,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727219,Pakistan,Asia,Pakistan,BGISEQ-500,SMCH7_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:43:00Z,1,SMCH7_R,SRP388693,root,control
SRR20705526,RNA-Seq,50,3267806150,PRJNA863398,SAMN30032956,Plant,2002073244,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Zincol-2016,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727218,Pakistan,Asia,Pakistan,BGISEQ-500,SMZ6_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:37:00Z,1,SMZ6_L,SRP388693,leaf,control
SRR20705527,RNA-Seq,50,3253399150,PRJNA863398,SAMN30032955,Plant,1932596246,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Ujala-2016,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727217,Pakistan,Asia,Pakistan,BGISEQ-500,SMUJ_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:34:00Z,1,SMUJ_L,SRP388693,leaf,control
SRR20705528,RNA-Seq,50,3227101700,PRJNA863398,SAMN30032954,Plant,1910401041,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,TJ-83,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727216,Pakistan,Asia,Pakistan,BGISEQ-500,SMTJ_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:34:00Z,1,SMTJ_L,SRP388693,leaf,control
SRR20705529,RNA-Seq,50,3415707200,PRJNA863398,SAMN30032953,Plant,2019770938,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,T-9,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727215,Pakistan,Asia,Pakistan,BGISEQ-500,SMT_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:37:00Z,1,SMT_L,SRP388693,leaf,control
SRR20705530,RNA-Seq,50,3327211600,PRJNA863398,SAMN30032952,Plant,2006753712,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Sonalika,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727214,Pakistan,Asia,Pakistan,BGISEQ-500,SMSN_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:37:00Z,1,SMSN_L,SRP388693,leaf,control
SRR20705531,RNA-Seq,50,3269937550,PRJNA863398,SAMN30032951,Plant,1956950896,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Seher-2006,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727213,Pakistan,Asia,Pakistan,BGISEQ-500,SMS6_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:38:00Z,1,SMS6_L,SRP388693,leaf,control
SRR20705532,RNA-Seq,50,3389658450,PRJNA863398,SAMN30032950,Plant,2034232273,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,S-24,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727212,Pakistan,Asia,Pakistan,BGISEQ-500,SMS24_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMS24_L,SRP388693,leaf,control
SRR20705533,RNA-Seq,50,3161848650,PRJNA863398,SAMN30032949,Plant,1948049256,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Rawal-87,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727211,Pakistan,Asia,Pakistan,BGISEQ-500,SMRW_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMRW_L,SRP388693,leaf,control
SRR20705534,RNA-Seq,50,3209874100,PRJNA863398,SAMN30032904,Plant,1867816478,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Chakwal-86,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727210,Pakistan,Asia,Pakistan,BGISEQ-500,SMCH8_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:39:00Z,1,SMCH8_R,SRP388693,root,control
SRR20705535,RNA-Seq,50,3392340750,PRJNA863398,SAMN30032948,Plant,2034588832,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Punjab-96,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727209,Pakistan,Asia,Pakistan,BGISEQ-500,SMPN_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMPN_L,SRP388693,leaf,control
SRR20705536,RNA-Seq,50,3263843500,PRJNA863398,SAMN30032947,Plant,1976614034,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pothowar-70,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727208,Pakistan,Asia,Pakistan,BGISEQ-500,SMPT7_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:34:00Z,1,SMPT7_L,SRP388693,leaf,control
SRR20705537,RNA-Seq,50,3254141800,PRJNA863398,SAMN30032946,Plant,1990231660,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pasban-90,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727207,Pakistan,Asia,Pakistan,BGISEQ-500,SMP9_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMP9_L,SRP388693,leaf,control
SRR20705538,RNA-Seq,50,3373428900,PRJNA863398,SAMN30032945,Plant,2021505291,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Parwaz-94,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727206,Pakistan,Asia,Pakistan,BGISEQ-500,SMPZ_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:35:00Z,1,SMPZ_L,SRP388693,leaf,control
SRR20705539,RNA-Seq,50,3168225850,PRJNA863398,SAMN30032944,Plant,1897492247,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pari-73,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727205,Pakistan,Asia,Pakistan,BGISEQ-500,SMPA_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:34:00Z,1,SMPA_L,SRP388693,leaf,control
SRR20705540,RNA-Seq,50,3430695550,PRJNA863398,SAMN30032943,Plant,2058081010,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pak-13,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727204,Pakistan,Asia,Pakistan,BGISEQ-500,SMP3_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:38:00Z,1,SMP3_L,SRP388693,leaf,control
